,cipmet10_S2,cipmet10_S3,cipmet10_S1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Arenimonas|Arenimonas daejeonensis,6,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xylella|Xylella taiwanensis,3,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xylella|Xylella fastidiosa,2,1,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Rhodanobacteraceae|Ahniella|Ahniella affigens,1,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas posidonica,28,18,24
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas,2,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas sp. FW-1,1,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas mediterranea,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Thalassolituus|Thalassolituus oleivorans,26,68,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Nitrincola|Nitrincola sp. KXZD1103,5,3,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Bacterioplanes|Bacterioplanes sanyensis,3,8,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Neptunomonas|Neptunomonas concharum,2,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas,5,7,9
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. BC-M4-5,23,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. Y2R2,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas sp. GT,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas hydrothermalis,5,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas titanicae,2,2,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas meridiana,1,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas subglaciescola,1,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas huangheensis,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halomonas|Halomonas aestuarii,1,5,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Halotalea|Halotalea alkalilenta,6,33,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Candidatus Carsonella|Candidatus Carsonella ruddii,4,4,7
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Kushneria,1,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Kushneria|Kushneria marisflavi,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax,4,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax pacificus,2,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax sp. N3-2A,1,0,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Kangiellaceae|Kangiella,2,2,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Hahellaceae|Hahella|Hahella chejuensis,1,4,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Saccharospirillaceae|Saccharospirillum|Saccharospirillum mangrovi,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales,1,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Spongiibacteraceae|Zhongshania|Zhongshania aliphaticivorans,22,2,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Spongiibacteraceae|Oceanicoccus|Oceanicoccus sagamiensis,14,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio sp. KY-GH-1,9,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio sp. PSBB023,6,7,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio sp. KY-YJ-3,1,3,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio sp. PSBB006,1,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Cellvibrio|Cellvibrio japonicus,1,5,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Saccharophagus|Saccharophagus degradans,5,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Halieaceae|Halioglobus|Halioglobus pacificus,20,1,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Halieaceae|NA|Halieaceae bacterium IMCC3088,1,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Microbulbiferaceae|Microbulbifer|Microbulbifer sp. GL-2,18,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella,3,7,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella pneumophila,23,7,10
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella oakridgensis,14,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella sainthelensi,8,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella jordanis,3,11,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella clemsonensis,2,2,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella israelensis,2,2,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella waltersii,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Legionella|Legionella cherrii,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae|Fluoribacter|Fluoribacter dumoffii,18,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Rickettsiella|Candidatus Rickettsiella viridis,11,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Coxiella,6,7,6
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Coxiella|Candidatus Coxiella mudrowiae,1,6,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Coxiella|Coxiella endosymbiont of Amblyomma sculptum,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Legionellales|Coxiellaceae|Aquicella|Aquicella siphonis,1,0,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|NA|Chromatiaceae bacterium 2141T.STBD.0c.01a,22,5,8
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thioflavicoccus|Thioflavicoccus mobilis,12,16,10
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Nitrosococcus,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Nitrosococcus|Nitrosococcus halophilus,4,10,7
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thermochromatium|Thermochromatium tepidum,4,7,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Rheinheimera|Rheinheimera sp. LHK132,1,2,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Rheinheimera|Rheinheimera sp. D18,1,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Marichromatium|Marichromatium purpuratum,2,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Woeseiaceae|Woeseia|Woeseia oceani,18,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Ectothiorhodospira|Ectothiorhodospira haloalkaliphila,4,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Alkalilimnicola|Alkalilimnicola ehrlichii,2,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|NA|Ectothiorhodospiraceae bacterium BW-2,2,5,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter|Spiribacter salinus,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Halorhodospira|Halorhodospira halochloris,1,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Thioalkalivibrio,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Halothiobacillaceae|Halothiobacillus|Halothiobacillus neapolitanus,2,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Chromatiales|Thioalkalibacteraceae|Guyparkeria|Guyparkeria halophila,1,3,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|Gammaproteobacteria bacterium DM2,7,4,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|endosymbiont of unidentified scaly snail isolate Monju,4,2,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|gamma proteobacterium SS-5,1,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Pseudohongiella|Pseudohongiella spirulinae,10,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Nardonella|Candidatus Nardonella dryophthoridicola,4,0,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Nardonella|endosymbiont of Pachyrhynchus infernalis,4,2,3
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Ruthia|Candidatus Ruthia magnifica,6,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Ruthia|Bathymodiolus septemdierum thioautotrophic gill symbiont,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|NA|Candidatus Baumannia cicadellinicola,7,4,6
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Candidatus Thioglobus|Candidatus Thioglobus singularis,2,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|NA|NA|Thiolapillus|Thiolapillus brandeum,2,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Orbales|Orbaceae,8,8,12
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Orbales|Orbaceae|Gilliamella|Gilliamella apicola,6,9,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Orbales|Orbaceae|Frischella|Frischella perrara,2,3,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae,2,0,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomonas|Methylomonas methanica,4,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomonas|Methylomonas sp. GJ1,1,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylocaldum|Methylocaldum marinum,5,73,4
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Methylococcales|Methylococcaceae|Methylomicrobium|Methylomicrobium album,1,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales|Acidiferrobacteraceae|Sulfurifustis|Sulfurifustis variabilis,4,1,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Acidiferrobacterales|Acidiferrobacteraceae|Acidiferrobacter|Acidiferrobacter sp. SPIII_3,2,0,0
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Nevskiales|Steroidobacteraceae|Steroidobacter|Steroidobacter denitrificans,3,2,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Nevskiales|Sinobacteraceae|Solimonas|Solimonas sp. K1W22B-7,2,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium|Cardiobacterium hominis,1,6,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales,6,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae,15,4,2
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter,126,3,10
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter ureolyticus,575,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter hominis,94,13,2
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter subantarcticus,55,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter sp. RM16704,15,35,45
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter jejuni,24,8,2
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter cuniculorum,13,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter coli,5,0,4
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter concisus,3,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter curvus,3,1,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter lari,3,7,6
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter insulaenigrae,2,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter showae,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter hepaticus,1,33,51
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Sulfurospirillum,227,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Sulfurospirillum|Sulfurospirillum barnesii,243,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter,19,1,10
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter cryaerophilus,12,2,3
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter nitrofigilis,11,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter anaerophilus,4,1,2
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter pacificus,1,2,4
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Halarcobacter|Halarcobacter bivalviorum,44,6,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|NA|Arcobacter sp. LPB0137,6,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas sp. CVO,28,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas sp. NW10,23,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas sp. GYSZ_1,8,6,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas sp. 1-1N,1,4,5
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfuricurvum|Sulfuricurvum kujiense,41,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter,19,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pylori,17,3,17
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter suis,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Wolinella|Wolinella succinogenes,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|NA|NA|Nitratiruptor|Nitratiruptor sp. SB155-2,1,0,2
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geobacter|Geobacter daltonii,286,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Desulfuromonas|Desulfuromonas soudanensis,61,3,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Pelobacter|Pelobacter sp. SFB93,3,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales,5,5,7
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Melittangium|Melittangium boletus,13,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Cystobacter|Cystobacter fuscus,1,1,13
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter|Anaeromyxobacter sp. K,10,41,6
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter|Anaeromyxobacter sp. Fw109-5,1,1,12
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Vulgatibacteraceae|Vulgatibacter|Vulgatibacter incomptus,1,1,2
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Polyangiaceae|Sorangium|Sorangium cellulosum,5,15,24
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|NA|Minicystis|Minicystis rosea,1,1,5
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Labilitrichaceae|Labilithrix|Labilithrix luteola,1,11,3
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Kofleriaceae|Haliangium|Haliangium ochraceum,1,0,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Pseudodesulfovibrio|Pseudodesulfovibrio indicus,24,1,6
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Pseudodesulfovibrio|Pseudodesulfovibrio profundus,1,0,6
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio fairfieldensis,10,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio vulgaris,1,0,2
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio alaskensis,1,0,3
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfurellales|Desulfurellaceae|Desulfurella|Desulfurella acetivorans,5,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfococcus|Desulfococcus multivorans,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfobacter,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfosarcina|Desulfosarcina ovata,1,0,2
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Syntrophobacterales|Syntrophaceae|Desulfomonile|Desulfomonile tiedjei,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Syntrophobacterales|Syntrophaceae|Desulfobacca|Desulfobacca acetoxidans,1,0,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Bradymonadales|NA|NA|Bradymonadales bacterium V1718,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria,17,45,13
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales,26,40,26
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae,3,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria sp. 10022,320,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria sp. oral taxon 014,15,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria animalis,81,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria lactamica,67,5,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria zalophi,62,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria weaveri,23,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria gonorrhoeae,1,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria mucosa,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria chenwenguii,1,4,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria animaloris,1,4,3
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella|Eikenella exigua,313,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Vitreoscilla|Vitreoscilla filiformis,1,3,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Vitreoscilla|Vitreoscilla sp. C1,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Simonsiella|Simonsiella muelleri,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Aquitalea|Aquitalea sp. THG-DN7.12,6,0,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Aquitalea|Aquitalea denitrificans,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Vogesella|Vogesella sp. LIG4,5,8,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Microvirgula|Microvirgula aerodenitrificans,3,0,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Laribacter|Laribacter hongkongensis,3,41,4
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Pseudogulbenkiania|Pseudogulbenkiania sp. NH8B,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Jeongeupia|Jeongeupia sp. USM3,1,1,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales,72,23,31
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae,1,1,8
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Polynucleobacter|Polynucleobacter difficilis,80,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Polynucleobacter|Polynucleobacter necessarius,46,3,3
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia,3,19,11
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia multivorans,3,2,7
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia lata,3,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia vietnamiensis,2,1,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia cenocepacia,2,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia ambifaria,2,0,1
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia sp. CCGE1003,11,118,8
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia sp. KBS0801,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia sp. KK1,1,0,0
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia thailandensis,4,2,2
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia pseudomallei,1,0,4
Bacteria|NA|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia gladioli,5,1,135
