,cip20_S2,cip20_S3,cip20_S1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. WP8,5,9,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. OxB-1,5,17,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. DSL-17,4,17,14
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-42376,3,0,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-45348,3,3,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-18017,3,7,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. ZY-1-1,3,0,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. N1-1,2,1,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. BS98,2,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. NSP9.1,2,3,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. Y1,1,6,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus mesonae,195,17,17
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus circulans,137,109,49
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus coagulans,114,287,174
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus kochii,92,135,126
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus flexus,82,182,42
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|[Brevibacterium] frigoritolerans,59,89,100
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thermoamylovorans,57,10,88
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus vietnamensis,56,29,22
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus megaterium,50,9,21
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cohnii,46,76,64
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus altitudinis,42,35,39
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus weihaiensis,33,37,17
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus oceanisediminis,33,51,51
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus marisflavi,20,30,33
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus safensis,17,5,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thermocopriae,17,0,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus simplex,17,1,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus ciccensis,15,15,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus pumilus,13,34,50
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus horikoshii,13,16,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus clausii,13,5,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus krulwichiae,11,14,17
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus lentus,10,5,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus asahii,9,33,28
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus methanolicus,7,12,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus gobiensis,6,20,16
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus miscanthi,5,1,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus infantis,5,6,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus filamentosus,4,1,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cellulosilyticus,3,2,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus jeotgali,3,4,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus beveridgei,3,1,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus pseudofirmus,2,2,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus freudenreichii,2,4,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus litoralis,1,3,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus halodurans,1,0,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus foraminis,1,1,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus smithii,1,1,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus muralis,1,1,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus,44,80,111
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus timonensis,193,79,126
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sphaericus,176,322,171
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. 2017,85,39,112
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. SGAir0095,23,15,22
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. YS11,20,15,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus varians,37,80,82
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus,56,87,83
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. Bac330,28,26,41
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. 6R,21,42,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. SK37,6,6,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. MSP4-1,5,11,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. Bac332,3,0,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus necropolis,4,2,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus halodenitrificans,3,2,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus phasianinus,3,11,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus dokdonensis,1,2,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus,1,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus sp. 160,56,38,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus iheyensis,55,53,65
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Amphibacillus|Amphibacillus xylanus,75,85,88
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Pradoshia|Pradoshia sp. D12,51,71,96
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus,7,19,22
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus sp. E263,18,16,23
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus thermodenitrificans,9,8,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus genomosp. 3,3,6,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus subterraneus,1,1,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus thermoleovorans,1,1,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus litoralis,23,5,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus halophilus,7,15,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus mangrovi,3,3,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus|Anoxybacillus flavithermus,13,1,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus|Anoxybacillus amylolyticus,7,1,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Pontibacillus|Pontibacillus sp. HMF3514,17,0,15
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus,3,1,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus|Fictibacillus arsenicus,7,10,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus|Fictibacillus phosphorivorans,3,3,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Aeribacillus|Aeribacillus pallidus,13,29,29
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Parageobacillus|Parageobacillus thermoglucosidasius,11,23,37
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Parageobacillus|Parageobacillus genomosp. 1,1,3,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Paraliobacillus|Paraliobacillus sp. X-1125,11,1,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Psychrobacillus|Psychrobacillus glaciei,7,16,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Psychrobacillus|Psychrobacillus sp. AK 1817,2,1,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Gracilibacillus|Gracilibacillus sp. SCU50,6,9,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Salimicrobium|Salimicrobium jeotgali,2,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lentibacillus|Lentibacillus amyloliquefaciens,2,2,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Salicibibacter,1,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Salicibibacter|Salicibibacter halophilus,1,1,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|NA|Bacillaceae bacterium C05,1,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae,13,130,19
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus,255,335,284
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus naphthalenovorans,245,240,450
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R7-0273,40,16,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R7-0331,19,5,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. JDR-2,14,10,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. IHBB 10380,10,15,14
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. 12200R-189,7,0,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. lzh-N1,6,6,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. 37,4,0,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. 32O-W,3,1,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. DCT19,2,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL H7-0357,2,0,0
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. HB172198,1,2,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R5-0345,1,1,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. BIHB4019,1,0,0
