,cipmet5_S1,cipmet5_S3,cipmet5_S2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,1,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,1,195,305
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium ciceri,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium soli,1,9,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium,1,9,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium currus,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium sp. WL1,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylorubrum,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|NA|Candidatus Hodgkinia|Candidatus Hodgkinia cicadicola,2,1,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|NA|NA|Rhizobiales bacterium PAMC 29148,1,3,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Ancylobacter|Ancylobacter sp. TS-1,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylocystaceae,1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylocystaceae|Terasakiella|Terasakiella sp. SH-1,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Beijerinckiaceae|NA|Beijerinckiaceae bacterium,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Aurantimonadaceae|Martelella|Martelella sp. AD-3,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhizobiales|Cohaesibacteraceae|Cohaesibacter|Cohaesibacter sp. ES.047,2,8,9
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae,3,43,48
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Sulfitobacter|Sulfitobacter sp. SK011,12,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Sulfitobacter|Sulfitobacter sp. SK025,6,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Sulfitobacter|Sulfitobacter donghicola,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pseudohalocynthiibacter|Pseudohalocynthiibacter aestuariivivens,10,15,6
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Ruegeria|Ruegeria sp. THAF33,8,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Labrenzia|Labrenzia alexandrii,5,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseovarius|Roseovarius sp. TM1035,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseovarius|Roseovarius sp. MME-070,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseovarius|Roseovarius sp. THAF9,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseovarius|Roseovarius indicus,2,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseobacter|Roseobacter litoralis,4,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pseudovibrio|Pseudovibrio sp. FO-BEG1,4,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Silicimonas|Silicimonas algicola,3,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Defluviimonas|Defluviimonas alba,3,5,10
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter,2,2,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter|Phaeobacter piscinae,1,19,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pannonibacter|Pannonibacter phragmitetus,2,0,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Rhodobacter|Rhodobacter capsulatus,1,1,2
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Pseudorhodobacter|Pseudorhodobacter sp. S12M18,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Leisingera|Leisingera aquaemixtae,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus contaminans,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas|Hyphomonas neptunium,1,4,47
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hirschia|Hirschia baltica,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae,5,3,4
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Commensalibacter,8,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Commensalibacter|Commensalibacter sp. AMU001,13,5,10
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter orientalis,9,7,8
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter sp. KACC 21233,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|NA|Acetobacteraceae bacterium,2,0,37
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Gluconobacter|Gluconobacter oxydans,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Asaia|Asaia bogorensis,1,1,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Roseomonas|Roseomonas gilardii,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Kozakia|Kozakia baliensis,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Granulibacter|Granulibacter bethesdensis,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Neokomagataea|Neokomagataea tanensis,1,3,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Komagataeibacter|Komagataeibacter oboediens,1,3,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae,1,17,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Magnetospirillum|Magnetospirillum sp. ME-1,5,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Rhodospirillum|Rhodospirillum rubrum,3,1,11
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum|Azospirillum sp. TSH58,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum|Azospirillum sp. TSA2s,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Thalassospira|Thalassospira marina,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Holosporales|Candidatus Paracaedibacteraceae|Candidatus Paracaedibacter|Candidatus Paracaedibacter acanthamoebae,39,76,51
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Holosporales|Caedimonadaceae|Candidatus Nucleicultrix|Candidatus Nucleicultrix amoebiphila,2,2,6
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Wolbachia,18,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Wolbachia|Wolbachia pipientis,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Ehrlichia,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia|Rickettsia typhi,3,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia|Rickettsia prowazekii,2,38,3
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia|Rickettsia canadensis,2,16,18
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Candidatus Sneabacter|Candidatus Sneabacter namystus,8,21,12
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Zymomonas|Zymomonas mobilis,9,1,4
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. C33,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. KC8,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. C8-2,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. LM7,1,5,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sp. YZ-8,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis,1,1,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis|Sphingopyxis macrogoltabida,3,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingopyxis|Sphingopyxis sp. PAMC25046,1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingorhabdus,2,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingorhabdus|Sphingorhabdus sp. SMR4y,1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingobium|Sphingobium yanoikuyae,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingobium|Sphingobium amiense,1,2,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium sp. Gsoil 351,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingosinicella|Sphingosinicella sp. BN140058,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|Altererythrobacter epoxidivorans,3,5,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Erythrobacter|Erythrobacter sp. HL-111,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae,1,1,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|Candidatus Pelagibacter,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|Candidatus Pelagibacter|Candidatus Pelagibacter sp. IMCC9063,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|NA|alpha proteobacterium HIMB59,1,0,0
Bacteria|NA|Proteobacteria|Alphaproteobacteria|NA|NA|Candidatus Puniceispirillum|Candidatus Puniceispirillum marinum,2,1,5
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Asticcacaulis|Asticcacaulis excentricus,1,0,1
Bacteria|NA|Proteobacteria|Alphaproteobacteria|Parvularculales|Parvularculaceae|Parvularcula|Parvularcula bermudensis,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales,4,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae,15,35,22
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter,14,40,36
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter hepaticus,55,85,58
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter sp. RM16704,40,149,111
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter jejuni,21,15,48
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter lari,12,15,10
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter concisus,8,3,66
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter hominis,6,127,9
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter avium,4,4,3
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter insulaenigrae,3,1,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter cuniculorum,2,79,53
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter fetus,1,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter volucris,1,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter sputorum,1,30,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter curvus,1,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter coli,1,12,10
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter,5,31,36
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter pacificus,5,32,9
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter cryaerophilus,4,14,2
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter suis,4,32,47
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter halophilus,3,3,17
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter butzleri,2,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter anaerophilus,2,1,18
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Arcobacter|Arcobacter molluscorum,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Halarcobacter|Halarcobacter bivalviorum,14,18,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Aliiarcobacter|[Arcobacter] porcinus,8,3,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Sulfurospirillum,2,9,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Sulfurospirillum|Sulfurospirillum sp. UCH001,2,1,4
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Sulfurospirillum|Sulfurospirillum cavolei,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas,2,2,3
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas|Sulfurimonas sp. 1-1N,9,17,11
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pylori,4,17,22
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pullorum,2,1,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter sp. MIT 01-6242,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Nautiliales|Nautiliaceae|Nautilia|Nautilia profundicola,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Nautiliales|Nautiliaceae|Nautilia|Nautilia sp. PV-1,1,0,0
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|Nautiliales|Nautiliaceae|Caminibacter|Caminibacter mediatlanticus,2,0,1
Bacteria|NA|Proteobacteria|Epsilonproteobacteria|NA|NA|Nitratiruptor|Nitratiruptor sp. SB155-2,1,6,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria,16,2,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Lawsonia|Lawsonia intracellularis,23,40,18
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio salexigens,4,6,4
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio hydrothermalis,3,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio desulfuricans,2,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio magneticus,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio carbinolicus,1,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Pseudodesulfovibrio|Pseudodesulfovibrio profundus,3,4,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfomicrobiaceae|Desulfomicrobium|Desulfomicrobium orale,2,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfomicrobiaceae|Desulfomicrobium|Desulfomicrobium baculatum,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales,6,7,5
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus|Myxococcus xanthus,2,2,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Myxococcus|Myxococcus macrosporus,1,2,3
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae|Corallococcus|Corallococcus coralloides,1,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae,1,3,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Archangiaceae|Stigmatella|Stigmatella aurantiaca,1,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Vulgatibacteraceae|Vulgatibacter|Vulgatibacter incomptus,2,3,3
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter,1,0,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|NA|Minicystis|Minicystis rosea,1,1,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Myxococcales|Sandaracinaceae|Sandaracinus|Sandaracinus amylolyticus,1,5,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfosarcina|Desulfosarcina ovata,5,2,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfosarcina|Desulfosarcina widdelii,3,3,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfobacter|Desulfobacter postgatei,5,4,1
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfurivibrio|Desulfurivibrio alkaliphilus,3,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales,2,1,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geobacter,1,0,4
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geobacter|Geobacter sulfurreducens,1,5,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geobacter|Geobacter sp. DSM 9736,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Geobacteraceae|Geoalkalibacter|Geoalkalibacter subterraneus,1,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Desulfuromonadales|Desulfuromonadaceae|Desulfuromonas|Desulfuromonas sp. DDH964,1,15,4
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Syntrophobacterales|Syntrophobacteraceae|Syntrophobacter|Syntrophobacter fumaroxidans,2,0,0
Bacteria|NA|Proteobacteria|Deltaproteobacteria|Syntrophobacterales|Syntrophaceae|Syntrophus|Syntrophus aciditrophicus,1,0,3
Bacteria|NA|Proteobacteria|Oligoflexia|Bdellovibrionales|Bdellovibrionaceae|Bdellovibrio|Bdellovibrio sp. ZAP7,32,60,28
Bacteria|NA|Proteobacteria|Oligoflexia|Bdellovibrionales|Bdellovibrionaceae|Bdellovibrio|Bdellovibrio sp. NC01,3,0,0
Bacteria|NA|Proteobacteria|Oligoflexia|Bdellovibrionales|Bdellovibrionaceae|Bdellovibrio|Bdellovibrio bacteriovorus,1,2,1
Bacteria|NA|Proteobacteria|Oligoflexia|Silvanigrellales|Silvanigrellaceae|Silvanigrella|Silvanigrella aquatica,2,1,3
Bacteria|NA|Proteobacteria|Oligoflexia|Silvanigrellales|NA|NA|Silvanigrellales bacterium RF1110005,1,6,18
Bacteria|NA|Proteobacteria|Acidithiobacillia|Acidithiobacillales|Acidithiobacillaceae|Acidithiobacillus,1,2,1
Bacteria|NA|Proteobacteria|Acidithiobacillia|Acidithiobacillales|Acidithiobacillaceae|Acidithiobacillus|Acidithiobacillus caldus,2,0,0
Bacteria|NA|Proteobacteria|Acidithiobacillia|Acidithiobacillales|Acidithiobacillaceae|Acidithiobacillus|Acidithiobacillus ferrivorans,1,0,0
Bacteria|NA|Proteobacteria|Zetaproteobacteria|Mariprofundales|Mariprofundaceae|Mariprofundus,2,0,0
Bacteria|NA|Proteobacteria|Zetaproteobacteria|Mariprofundales|Mariprofundaceae|Mariprofundus|Mariprofundus aestuarium,1,0,0
Bacteria|NA|Firmicutes,6632,35699,51157
Bacteria|NA|Firmicutes|Bacilli,14171,11390,11565
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales,37304,25395,17453
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae,12892,6714,2412
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus,1608079,923183,812828
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus infantarius,1904669,1193275,125214
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. CNU 77-61,113738,62358,10145
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. CNU G3,109565,59262,10090
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. HSISB1,10814,4203,5964
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. A12,551,32,240
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. 116-D4,484,334,2855
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. DAT741,449,97,350
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. Z15,311,546,174
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. NCTC 11567,259,184,334
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. FDAARGOS_192,195,6,81
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. I-P16,129,4,311
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. oral taxon 431,23,167,4851
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. NCTC 10228,13,1657,68
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sp. NPS 308,12,145,13935
